Price,CrimeRate,SchoolRating
201083.057,42.05,7.61
289915.2581,46.56,7.5
500787.2489,7.73,7.02
453167.7797,81.73,6.44
468592.981,44.88,6.25
643648.7488,22.83,9.34
284846.2384,22.15,7.46
165266.5131,34.14,4.99
113423.8569,8.02,9.5
400906.5969,73.34,6.65
390164.8623,20.55,7.75
187995.7479,41.95,7.62
334882.4909,7.18,6.33
133991.8721,14.06,6.03
384299.924,8.17,4.91
173253.2882,41.28,6.2
365160.8737,19.13,4.34
315110.2214,16.96,5.52
544722.7857,67.25,7.96
103024.6398,39.91,8.76
236584.1873,33.85,7.31
407629.4936,29.56,6.59
506388.8471,36.55,7.19
297285.8169,50.4,7.34
290957.0203,2.94,4.3
350479.6175,21.98,7.46
179465.1961,24.34,8.58
510530.1082,38.18,8.43
447293.5671,22.74,6.45
312074.1011,50.89,6.52
143197.3936,50.76,7.72
118334.6332,61.17,1.35
99325.70034,61.69,5.31
104773.5017,41.66,2.8
236450.6019,1.62,6.01
163532.6969,52.54,6.15
452987.9875,17.49,10.0
313470.0031,12.81,8.7
380770.1555,65.77,4.67
411243.601,61.57,8.62
256564.7699,60.43,5.64
251183.1563,19.53,6.91
155965.7046,8.68,4.27
180707.6909,45.42,3.96
206294.6469,45.33,6.55
93883.51932,10.07,3.12
172888.1978,4.6,6.99
232326.4253,29.97,6.17
210467.5593,16.9,5.65
237388.69,36.44,5.1
497529.3938,60.61,6.57
137084.6115,33.8,4.28
312374.5689,42.76,5.88
530691.8255,37.66,9.4
238569.6214,43.53,3.99
272776.072,50.24,9.02
280135.5817,61.43,7.2
574520.8943,21.96,7.88
162605.8875,8.53,4.94
282254.4151,58.49,5.37
523913.4523,50.21,5.06
268097.0147,29.23,9.05
330576.3618,29.86,7.64
262653.3923,44.28,4.95
162547.0472,11.54,7.24
274124.9918,36.97,8.74
175680.1302,40.62,6.91
177882.2157,20.36,8.9
340979.9018,44.34,8.26
111889.5615,14.58,2.68
358367.7787,27.53,4.24
265278.7319,25.26,6.06
323896.9028,47.3,7.24
620197.351,17.69,9.04
134130.7502,63.37,7.98
304931.3849,42.13,10.0
335756.0143,47.36,6.29
372249.6346,2.02,5.18
520589.6866,41.33,6.56
411343.6274,40.73,6.09
571526.5617,6.45,7.18
245104.5692,41.15,4.96
235613.132,18.98,5.89
108935.8619,20.57,4.69
497908.5102,11.61,10.0
174200.3734,12.76,7.45
322341.8634,33.62,9.09
145942.1369,15.89,7.26
118104.4673,23.32,4.63
412440.005,77.41,3.49
238343.9376,39.47,9.35
122930.8342,32.58,2.76
246206.4743,39.33,8.63
147760.8634,75.51,5.51
165566.0579,9.63,6.24
109258.2332,60.21,5.93
527307.9088,23.11,5.59
780190.8628,37.98,8.67
157587.7771,43.98,3.76
235908.2389,30.6,4.35
161223.6344,49.3,5.02
201849.2072,37.59,6.57
123104.0484,5.72,5.3
155727.5636,4.07,5.95
421368.8869,34.06,5.82
111529.805,46.48,4.57
565338.9769,3.65,7.59
363985.391,25.78,5.78
733103.4288,43.93,7.98
316592.6204,48.09,7.14
172521.4329,23.25,8.04
258308.4169,23.29,5.81
175781.7126,30.07,5.88
192044.4362,1.93,7.48
193488.1005,1.27,6.35
305813.1243,27.82,6.5
103436.2248,30.13,8.82
242450.3356,37.58,6.8
675749.7362,14.61,5.2
318126.9653,45.32,7.83
206316.8392,7.15,6.29
397238.4498,52.73,7.55
115156.9002,16.6,3.73
233534.837,26.55,8.77
265015.4048,20.35,8.69
542916.9681,44.63,8.06
314737.1867,8.96,10.0
234433.7794,23.4,6.55
204687.7228,23.73,6.46
624004.5467,40.56,9.87
192100.1045,3.07,9.59
220351.6395,23.03,4.6
679097.4556,5.37,8.71
205922.9258,91.47,5.48
145164.6243,37.93,8.64
336955.922,18.69,6.92
466709.337,13.15,9.23
324337.8834,21.19,3.98
445058.7417,34.34,10.0
340097.7088,59.45,7.45
257093.7751,0.88,8.59
352999.1133,30.13,8.88
152467.1669,70.32,5.26
511448.6747,33.2,10.0
248336.565,23.87,5.85
155146.8993,35.1,8.38
177944.3403,43.9,5.65
277389.5276,55.84,10.0
126108.4073,65.46,7.45
405334.8917,31.0,9.11
129571.1343,42.87,5.57
503922.7306,16.47,6.36
631038.2748,49.21,8.88
516799.3191,16.52,8.15
142639.1425,48.12,7.15
202084.3426,18.9,6.6
348991.4784,24.14,10.0
235364.9007,42.17,5.74
342576.4266,30.52,6.75
184100.4687,3.83,8.35
461983.6949,22.94,10.0
266465.0939,65.66,6.72
264687.482,20.92,8.57
203962.6062,36.31,3.22
241942.875,36.93,6.66
164491.9501,26.53,3.78
135815.7113,40.74,5.45
330861.4805,29.39,6.05
387483.377,6.4,7.57
252928.8126,43.69,2.73
497905.6963,6.17,9.31
551289.4411,46.48,4.26
165425.0982,34.88,7.42
393815.2236,60.8,6.45
646182.2465,24.53,10.0
296121.6951,13.69,7.64
432179.2694,34.29,6.92
401065.9409,47.8,5.61
214089.6239,1.9,5.84
407852.18,21.6,7.43
405574.4351,54.62,6.21
129485.9721,43.6,9.03
280418.7304,49.7,4.74
323691.9893,35.59,7.72
102580.7852,25.03,9.22
107330.1073,27.48,5.81
302811.6508,53.75,5.78
524598.9768,55.05,7.33
154684.3011,90.25,6.44
158109.1568,31.84,7.09
369157.1951,35.1,10.0
244766.5398,37.89,6.26
169536.3962,56.88,6.69
278642.1448,64.36,5.43
423641.3572,10.43,8.7
354961.7707,4.33,8.43
244662.9562,47.4,7.94
343336.0697,56.08,4.87
214297.0732,53.07,7.32
266337.8745,4.74,6.82
244814.255,20.56,7.57
415681.7376,45.88,4.04
521954.8921,31.61,8.64
283519.0624,24.37,7.9
343053.3563,32.64,7.29
623993.8792,42.91,9.48
88580.3812,9.83,7.33
269536.7121,47.57,4.46
229785.0799,55.91,6.73
232594.7678,40.32,4.25
327626.1061,57.62,4.5
248086.4852,24.01,10.0
168532.7932,33.47,6.09
240754.6703,42.39,6.41
317898.9263,25.49,6.51
251869.3825,18.79,5.64
327448.2674,1.9,6.99
149402.0683,61.7,4.85
182818.7408,31.93,5.82
351747.2649,28.07,7.8
214596.5987,4.26,9.95
658461.7223,23.53,9.52
492994.8442,82.91,8.45
219968.9935,7.5,5.93
283743.8872,41.58,8.02
303853.3608,41.02,4.96
252796.5789,11.43,8.99
368824.7083,25.88,7.88
419123.8418,19.95,6.68
187888.8282,2.93,6.97
356569.8677,38.98,4.24
347052.8596,23.23,5.67
189564.2486,68.04,5.68
284318.2353,13.26,8.86
202859.3176,61.59,8.24
361331.6827,18.64,8.99
713993.1241,13.25,9.07
191718.172,62.73,7.32
229928.759,17.2,4.71
150695.0969,15.34,7.89
336337.6459,32.15,7.74
344786.63,16.95,8.01
280494.9248,43.56,5.8
360491.2038,10.86,10.0
300740.9772,37.34,5.84
550091.5551,17.32,6.93
236691.7614,10.57,5.72
123575.9347,51.3,7.77
260356.7383,20.86,7.06
323646.6032,45.63,6.71
98622.30842,50.56,1.9
652902.385,38.5,8.74
313766.7632,28.71,6.8
190662.9313,39.76,3.11
485170.8378,10.54,6.77
207331.9679,31.76,5.49
111298.1421,4.79,8.11
169416.882,38.64,4.38
232506.3177,1.79,4.78
610064.7447,33.12,7.39
256123.2288,45.32,4.79
822630.8227,39.12,7.23
201575.1283,3.99,9.03
319705.9149,7.79,8.01
509492.6003,8.45,7.82
295980.5785,25.56,10.0
113104.3844,20.54,4.0
120438.0192,56.8,6.67
345504.5387,43.5,4.36
110454.7642,48.45,8.59
119563.1348,61.68,4.25
662675.9344,40.4,10.0
586725.5921,33.33,10.0
124414.6586,33.54,7.1
202946.7719,35.96,3.47
294006.8647,44.88,6.67
251042.806,31.67,7.53
218754.4913,31.52,6.81
122559.9246,25.64,6.96
339351.4185,2.74,10.0
504221.8113,5.79,8.59
361257.3895,30.12,6.22
493629.1326,15.05,10.0
365843.4516,49.71,9.08
248789.3322,41.8,8.28
95067.28153,17.7,5.66
551047.2345,1.82,6.27
93963.58358,21.93,6.26
312594.3837,37.99,9.07
244610.7551,50.8,5.64
477219.5197,54.97,7.28
342939.5367,2.54,7.12
95856.1153,15.82,7.23
541235.5038,57.27,6.62
537982.891,55.14,5.13
170808.2439,56.21,7.16
244009.9532,56.68,8.31
222140.2512,36.74,7.43
254840.1404,42.6,9.69
98056.79277,6.05,4.41
317672.2156,6.5,7.8
463689.7188,15.63,10.0
195341.3991,25.04,6.95
474816.6255,27.6,10.0
446542.03,44.88,5.18
198672.4582,22.98,7.98
244504.4305,10.01,7.0
393259.0021,22.8,9.08
248310.5492,3.66,5.17
175701.0941,26.82,8.07
204755.9384,29.97,3.48
195416.5331,17.77,5.49
135333.7626,44.83,5.7
254110.0525,20.39,9.14
187420.2746,59.58,5.41
383541.8907,23.91,8.05
499542.613,33.86,10.0
702265.437,83.45,8.73
591930.0137,62.82,10.0
230285.191,69.8,7.73
272823.1207,51.63,9.86
249268.1619,2.52,7.04
257438.9156,29.83,6.22
466401.4281,32.66,9.92
146268.2679,29.21,4.81
201890.2908,32.34,6.61
240045.8232,17.49,8.13
339091.8612,52.07,6.14
351210.4303,46.62,9.44
256372.5145,43.67,6.9
618110.2488,20.86,8.16
113299.4671,40.63,3.36
240851.9783,1.26,6.12
265397.8247,37.13,7.9
322496.1499,0.3,5.8
154546.2588,42.24,5.78
355509.5762,43.64,7.61
479105.0217,45.71,8.75
503702.0815,8.17,9.53
400789.3699,26.51,5.46
416597.0363,10.83,10.0
321147.6717,39.39,8.65
409672.2311,15.0,8.62
463029.2579,31.59,7.56
428899.4386,19.94,9.87
314818.9064,34.93,5.28
277255.8684,14.57,10.0
140842.3883,1.51,5.38
109087.4478,23.64,4.65
269688.4728,3.1,8.75
215665.2148,33.99,6.24
469333.7639,48.88,7.14
193712.9455,32.79,5.69
309141.3191,21.42,9.45
220315.6302,38.25,4.58
103727.154,4.42,7.57
476261.3868,6.68,10.0
243722.0049,12.17,5.49
157550.5442,46.06,6.26
449192.4444,53.58,10.0
273769.0828,31.79,9.0
383798.3606,29.62,7.1
172227.7567,37.17,7.93
275767.8705,38.76,7.35
420255.3959,21.63,7.67
92151.74651,39.66,6.11
297714.1583,21.5,8.79
465411.917,16.34,8.99
234150.2392,38.1,4.95
257273.9223,34.02,8.07
97427.25678,34.69,4.36
767721.1084,0.81,10.0
320500.8382,47.65,3.77
312782.8059,18.04,7.29
446075.8762,23.92,8.58
164309.6409,28.06,6.39
174452.5836,58.97,3.03
516020.9028,26.96,9.4
202100.7793,36.56,9.29
473382.5348,0.1,8.81
110864.4095,15.61,8.32
327347.9656,40.84,5.51
400944.4919,25.16,8.17
373346.7227,29.36,7.38
196620.752,24.75,4.39
154249.565,36.47,6.67
218757.1645,16.33,5.77
283028.7124,23.64,3.49
308120.0689,28.4,4.69
377092.29,59.38,10.0
226944.7235,0.75,8.5
498851.7088,62.7,10.0
471721.7656,52.86,6.03
340863.3536,27.0,5.76
415436.8385,43.55,5.71
257606.4882,20.75,6.63
153573.3276,44.94,7.65
201622.4738,0.89,2.47
324848.6239,38.21,5.65
520671.8883,32.86,7.61
459045.6798,26.34,6.93
181434.0593,35.85,7.29
158116.3485,25.53,5.05
113935.0884,44.84,4.77
452654.1891,17.32,10.0
218601.7834,21.76,7.32
211649.1352,8.14,6.79
161330.406,72.88,4.81
324782.6328,61.77,4.83
434970.7078,49.13,4.41
112980.7449,28.98,7.03
425157.08,36.18,6.39
138602.8269,27.68,7.61
168483.329,51.49,8.9
230173.566,5.77,7.88
156294.8951,81.87,6.23
189162.786,39.14,7.04
253476.2673,34.6,7.86
302975.6561,16.78,7.15
247180.2754,57.1,5.96
255230.9738,57.98,6.32
371325.8584,17.66,5.36
146124.9394,52.85,5.68
104735.1932,37.68,3.79
116907.4444,80.57,7.29
717578.6979,31.16,8.24
432952.5713,3.64,9.17
282253.0256,40.39,5.91
157531.1689,25.87,7.87
492566.1352,3.24,8.34
206191.2904,59.57,4.56
481402.8049,27.83,6.72
165108.6084,36.3,6.19
297382.5679,22.13,10.0
262980.2794,47.08,6.35
171613.4246,66.78,6.64
106645.3587,79.29,7.52
469389.2362,3.29,10.0
97058.08872,48.83,3.45
205937.7401,38.21,5.49
376242.2191,66.01,6.56
398689.0703,33.49,6.43
369749.0723,19.79,9.63
262871.0421,25.46,4.99
290802.8624,20.92,6.38
878270.4815,51.98,9.23
461560.2178,22.54,7.9
324387.7875,49.4,6.08
191370.9394,24.39,9.29
228871.9721,6.89,8.63
413696.176,37.47,8.33
148852.0295,35.26,7.06
607617.5735,24.92,6.51
309475.7389,56.39,5.88
290743.0373,44.46,8.52
277934.3181,56.14,8.98
114524.9105,20.67,5.96
403001.0933,17.41,6.9
504229.4659,2.07,7.03
163575.4804,3.97,5.75
153535.3657,51.78,5.87
212943.7066,3.36,8.44
277441.6937,38.53,6.61
446406.9359,7.19,6.52
573920.1164,35.77,10.0
189396.4227,10.09,7.06
441280.179,16.35,6.96
337640.8887,17.88,6.77
98513.09269,9.39,8.11
379212.9742,23.35,9.09
347345.675,25.71,10.0
579785.4694,58.72,8.22
257522.3403,10.11,10.0
244850.0049,9.77,7.36
354263.9805,44.14,4.69
475262.5456,30.7,8.08
157501.3561,11.86,7.47
327189.4572,38.08,8.85
208975.1804,63.39,4.12
168431.4026,42.01,8.24
421524.3866,29.77,7.49
154990.6295,8.1,4.42
181631.6169,25.89,7.57
145468.7412,23.36,6.42
365322.3062,46.69,5.89
508240.4454,39.94,10.0
297070.034,34.59,6.2
454453.7197,14.71,4.69
220849.5079,57.1,9.6
196117.0289,4.08,6.59
300684.2367,44.06,6.49
298345.4482,17.68,8.6
354524.7111,40.22,4.81
158471.7514,33.1,7.25
369438.1439,35.32,9.89
90122.38554,42.44,6.7
326008.5763,13.42,8.38
225542.0184,23.38,8.87
206050.2198,39.23,6.53
158839.4141,29.13,3.35
413218.8644,43.89,8.29
197193.796,14.51,4.62
273247.2535,76.02,4.69
262492.94,19.23,5.89
562484.0227,59.39,2.05
349391.2377,15.76,8.62
159395.7219,28.65,7.23
203564.234,25.47,7.55
354353.6387,45.12,6.03
161533.5785,43.88,4.17
283822.2283,18.16,10.0
144490.858,58.61,6.52
182140.9594,41.4,4.38
459567.602,24.73,9.21
279109.5484,14.16,8.44
363057.9952,26.87,8.16
300974.5539,42.24,6.09
362917.3377,35.43,8.0
343937.572,52.5,8.29
258216.0685,31.81,5.52
91763.35075,10.54,6.77
380733.0623,29.3,6.55
650641.7431,51.02,7.74
303786.0932,34.46,5.98
344545.4984,70.9,6.38
174760.7324,30.89,6.61
251945.1802,31.81,9.66
644542.115,25.98,6.85
597377.9812,57.51,6.88
113867.704,21.69,4.74
300406.5819,28.92,4.79
330090.5606,60.47,9.6
318574.1442,37.82,9.72
238916.7137,33.9,9.93
193579.1699,41.48,5.93
341148.4504,51.76,5.44
321072.6461,18.37,6.39
381701.4755,48.26,7.63
173670.6252,21.85,6.03
461667.4612,38.52,7.85
295342.0273,57.21,7.65
196765.808,35.72,5.36
260260.6374,1.5,8.75
263931.7455,45.77,4.69
293232.5093,20.43,4.63
218397.4733,2.44,7.29
475850.3779,28.12,7.3
401135.7425,66.52,9.34
113721.45,31.76,7.2
146057.4532,0.76,4.56
340862.5578,38.89,8.21
156453.1818,22.64,5.89
154177.1892,40.4,4.73
196785.7624,43.86,7.07
116731.4427,40.72,6.2
222404.4952,4.18,7.5
535479.8648,60.14,9.08
181909.8306,28.22,4.92
415496.8971,18.7,9.07
298185.2356,37.25,7.16
421852.2768,15.3,7.45
473601.4141,9.82,9.94
334716.2929,39.81,6.92
575304.7083,28.74,5.92
477452.2338,46.58,10.0
153829.4032,18.57,7.75
382171.5594,34.45,6.97
118599.8402,45.49,2.1
575023.6845,7.63,8.33
248163.8659,7.08,2.69
268929.6573,47.1,8.57
481639.5277,20.22,6.07
160415.9956,0.57,8.05
126134.1796,30.7,6.74
488872.2089,25.34,10.0
384158.1752,12.87,5.23
121606.9623,5.54,5.48
564601.8115,52.18,6.24
196541.7694,62.06,5.37
363716.895,58.13,10.0
122427.5754,43.92,4.25
416898.1012,7.43,8.79
307135.0187,22.35,8.03
264808.5711,29.08,7.19
397043.65,52.34,5.87
601100.0146,26.02,5.32
149985.9048,4.24,7.88
502007.3141,34.01,5.77
411710.1671,36.13,8.15
373416.1307,8.9,8.02
1004323.974,51.13,7.05
388416.6197,44.48,6.78
190849.8791,34.45,5.53
153165.0037,10.32,7.27
165482.0594,13.05,7.26
354213.0866,21.07,6.73
536376.4065,18.24,7.76
380064.2378,47.98,7.36
268381.7089,10.75,8.86
120929.0389,43.97,4.22
276114.303,39.59,4.94
256574.4397,67.78,9.41
137600.1985,23.98,7.77
472945.5328,11.02,8.32
129572.8694,19.53,6.59
161248.7798,12.97,5.55
158634.0109,41.5,5.47
194009.7516,18.28,4.37
456965.1835,20.81,8.63
268454.0863,17.28,6.89
274113.6555,39.51,8.33
438926.1957,25.23,10.0
418497.7631,55.69,4.58
166751.417,36.83,7.51
216188.2021,16.53,8.57
328445.3249,27.8,8.79
103080.8523,33.95,1.36
273449.9487,22.27,6.49
301173.9556,46.29,10.0
226058.3649,30.4,5.15
425167.2697,7.86,5.27
306655.055,8.59,8.18
493844.755,60.33,6.68
98435.51986,30.09,5.88
372032.2221,10.8,7.53
506532.904,15.22,10.0
85000.0,19.26,5.71
224345.928,24.1,7.48
256751.1774,1.28,7.86
396534.8625,19.19,7.3
332189.1019,33.95,8.67
291614.0944,40.54,2.71
361398.7754,42.74,4.95
346686.6221,2.75,4.88
404481.797,3.33,9.31
143269.7371,39.0,1.6
284876.22,23.5,7.0
198274.6968,54.42,7.51
133859.3801,30.82,5.2
829612.6819,48.81,5.99
335982.5127,29.65,4.43
223625.846,24.65,6.87
189578.0677,47.79,7.01
374159.8778,8.34,9.39
212120.0921,53.27,9.39
107444.0965,30.26,4.36
322050.2796,23.68,9.52
334675.3086,68.84,5.0
265407.0054,36.62,7.67
281180.6138,31.18,7.66
371639.9016,7.12,10.0
309018.0742,38.52,9.71
365276.7021,37.0,6.05
192110.0073,36.03,6.96
387762.1979,21.43,5.71
254413.1466,37.43,6.88
298185.6107,31.02,7.0
328661.4105,35.56,8.35
403526.8027,44.62,5.96
305972.3126,15.61,4.38
159151.9278,40.49,6.59
500877.557,46.27,8.9
536029.0706,36.27,7.95
467226.488,20.91,8.3
139404.3725,53.63,7.1
594199.6817,32.79,6.22
227814.0832,44.28,4.12
662215.8511,13.8,9.48
324162.0997,39.86,7.99
300946.7406,28.95,4.91
219833.9251,11.77,5.59
685133.8945,15.07,9.25
105967.4529,23.0,4.66
378592.8484,18.0,8.29
252206.3363,34.75,4.75
200331.3534,49.87,6.16
165834.1971,45.34,5.72
410459.3708,89.38,8.53
96863.68367,22.34,5.76
367594.2369,26.63,7.65
334478.0946,7.73,8.18
342679.5368,30.72,9.82
144362.9708,11.22,6.04
475523.4029,28.01,10.0
456164.2115,2.54,7.58
313652.0388,27.38,10.0
330395.2954,36.04,5.09
231074.2306,23.73,8.01
285138.4883,19.58,8.43
228904.7746,39.7,5.31
434637.2054,33.3,4.96
429663.1204,27.11,3.74
722574.6253,11.06,10.0
122436.7116,7.25,7.99
291613.4365,21.84,6.03
130765.982,40.12,5.15
163287.2633,70.03,5.99
789259.36,31.43,5.21
337003.2336,69.53,5.96
413003.9979,33.12,7.52
470714.7115,21.86,7.14
596002.3773,33.9,7.36
170764.9409,38.19,6.09
660281.9581,41.32,6.33
380782.1881,39.7,8.34
417593.3801,43.28,4.5
496358.2834,22.2,7.65
557698.2794,16.99,10.0
190469.5938,19.66,2.07
625748.35,2.67,10.0
222101.5906,45.39,6.24
554555.2712,21.32,8.24
340925.1564,17.36,8.28
175648.9446,2.21,6.12
121420.1686,36.77,5.34
760446.2967,45.43,7.47
182395.2099,37.63,2.66
404654.1572,43.96,5.07
640135.6395,42.11,6.15
285644.6181,62.41,5.63
112529.2773,19.18,4.74
197180.0,21.7,6.72
300227.2395,41.33,4.63
202880.5964,38.7,5.24
280460.0013,10.02,7.34
104435.5011,9.41,8.86
345373.5712,13.52,9.61
248403.4061,41.23,6.94
683500.7185,43.4,7.79
414467.0282,81.77,7.84
476570.3733,24.47,10.0
445799.2446,50.29,7.05
313430.0109,59.56,6.21
586225.2075,10.39,4.07
330678.6526,24.14,7.08
931377.1891,21.33,8.87
266749.8707,55.87,9.02
150955.8344,27.19,7.55
204501.6496,52.03,6.07
226404.3435,0.4,8.77
277702.0739,62.78,7.3
423935.6588,49.94,7.66
265124.8389,29.36,6.79
366361.8071,57.27,6.19
133591.3704,53.87,1.97
401829.2799,0.62,8.07
500642.8657,18.81,9.75
418899.9362,51.03,7.86
556251.2911,54.86,7.59
436602.8189,37.32,7.48
319668.9235,46.36,4.74
297866.4092,57.64,6.38
168100.8249,39.8,3.09
399559.1881,51.88,9.7
296815.2986,41.72,5.56
216691.1785,38.48,6.9
342115.0793,56.45,8.77
88969.66014,2.68,8.04
208764.2546,76.09,4.64
298957.4967,25.42,7.95
266952.8137,9.24,5.36
516382.1541,15.19,9.13
172426.9023,51.47,3.81
199372.794,64.48,4.99
155726.5703,42.59,5.26
180015.2789,10.7,8.36
208805.3098,4.99,6.26
334952.6535,39.6,4.63
669964.7707,27.97,10.0
165809.6323,45.77,1.78
333524.6641,51.99,4.42
312146.1179,20.44,10.0
557907.882,46.53,6.4
570208.7807,37.81,6.44
212593.3699,33.69,6.94
128708.696,38.9,7.1
155735.0323,47.95,8.68
269408.846,3.76,8.97
279007.9273,0.72,7.77
395658.2952,61.26,5.45
505005.466,28.45,5.41
210645.6183,44.25,8.65
330731.053,20.37,6.71
151940.0427,31.76,8.02
301953.5935,46.86,8.51
191893.9135,49.17,5.27
435340.0265,12.29,9.06
135238.8633,56.21,9.2
422422.0922,64.77,6.55
222700.0343,30.12,4.67
199811.224,60.9,7.84
419228.1018,38.98,8.98
124195.6191,36.53,8.28
189138.1239,22.38,5.09
174835.0863,44.51,5.52
483033.3232,40.26,8.36
214365.1076,10.91,4.43
190229.8273,3.85,10.0
257123.6481,44.9,4.5
386734.8426,32.03,8.26
255046.6856,29.83,5.01
